"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherApparentTemperature","weatherTemperature","weatherPrecip","weatherPrecipType","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherLat","weatherLong"
"42",0.78,3.05,87,25.8,0.88,9.24,-8.05,12.2,0,NA,"partly-cloudy-day","Mostly Cloudy",1022.83,401.71,70.2,-148.47
"43",0.37,9.83,99,2.46,0.75,32.27,39.58,39.58,0,NA,"partly-cloudy-day","Partly Cloudy",1006.89,432.34,59.05,-158.52
"44",0.56,9.44,137,2.69,0.67,23.08,32.91,32.91,0,NA,"partly-cloudy-day","Partly Cloudy",1008.34,366.16,62.73,-143.92
"45",0.94,8.91,141,13.71,0.86,33.96,29.46,37.8,0.0058,NA,"cloudy","Overcast",1003.52,412.67,53.88,-166.53
"46",0,9.73,60,5.16,0.61,13.68,19.05,25.3,0,NA,"clear-day","Clear",1015.27,378.39,64.77,-141.15
"47",0.78,6.74,216,6.88,0.85,33.77,32.82,38.02,0,NA,"partly-cloudy-day","Mostly Cloudy",1009.67,405.75,59.62,-135.37
"48",0.98,9.22,122,7.23,0.79,40.61,43.02,46.63,0,NA,"cloudy","Overcast",1008.88,424.21,58.2,-136.35
"49",0.2,10,55,5.52,0.5,16.99,28.65,33.71,0,NA,"clear-day","Clear",1012.28,380.1,64.82,-147.87
"50",0.2,9.09,84,7.1,0.78,27.75,27.76,33.93,0,NA,"clear-day","Clear",1008.91,396.28,62.85,-154.47
"51",0.73,9.2,163,8.25,0.79,39.51,41.16,45.49,0.0031,NA,"partly-cloudy-day","Mostly Cloudy",1010.08,427.46,57.45,-134.03
"52",0.25,10,85,10.96,0.67,8.76,5.52,17.8,0,NA,"partly-cloudy-day","Partly Cloudy",1017.1,390.45,65.93,-149.83
"53",0.02,10,68,10.7,0.62,9.51,9.07,20.51,0,NA,"clear-day","Clear",1019.27,394.67,66.57,-145.27
"54",0.83,9.59,153,7.89,0.74,38.29,42.2,46.21,0.0025,NA,"partly-cloudy-day","Mostly Cloudy",1009.73,423.99,58.25,-134.9
"55",0.06,10,177,8.02,0.54,4.69,8.28,18.41,0,NA,"clear-day","Clear",1018.07,400.16,68.48,-149.48
"56",0.59,9.33,61,15.25,0.87,19.11,9.3,22.49,0,NA,"partly-cloudy-day","Partly Cloudy",1014.11,419.73,63.77,-171.73
"57",0.23,9.54,190,2.42,0.7,29.8,38.75,38.75,0,NA,"clear-day","Clear",1007.93,372.03,62.15,-145.45
"58",0.5,9.85,153,3.12,0.79,40.03,45.21,46.15,0,NA,"partly-cloudy-day","Partly Cloudy",1002.91,420.8,58.42,-135.73
"59",0.6,9.75,179,3.12,0.83,37.11,40.3,41.83,0.0018,NA,"partly-cloudy-day","Mostly Cloudy",1002.58,412.35,59.23,-135.43
"60",0.74,8.64,359,1.15,0.81,30.21,35.35,35.35,0,NA,"partly-cloudy-day","Mostly Cloudy",1007.1,393.15,61.98,-152.08
"61",0.11,9.83,41,2.12,0.67,22.72,32.3,32.3,0,NA,"clear-day","Clear",1009.3,376.99,63.83,-149
"62",0.14,9.78,122,3.73,0.73,36.51,43.04,44.76,0,NA,"clear-day","Clear",1005.66,403.15,59.63,-151.5
"63",0.85,9.85,125,7.97,0.77,39.56,42.46,46.46,0.0026,NA,"partly-cloudy-day","Mostly Cloudy",1009.29,423.21,58.1,-135.45
"64",0.04,9.8,324,1.29,0.65,31.28,42.11,42.11,0,NA,"clear-day","Clear",1006.75,430.73,59.75,-154.92
"65",0.88,9.72,140,7.06,0.76,38,41.12,44.99,0.0028,NA,"partly-cloudy-day","Mostly Cloudy",1010.1,417.34,58.37,-134.58
"66",0.56,9.86,141,7.73,0.79,40.02,42.39,46.31,0.0047,NA,"partly-cloudy-day","Partly Cloudy",1008.75,432.71,56.97,-133.95
"67",0.72,9.97,161,3.85,0.63,33.32,43.53,45.27,0,NA,"partly-cloudy-day","Mostly Cloudy",1006.96,397.6,60.57,-151.25
"68",0.67,9.81,146,9.79,0.84,41.94,41.92,46.62,0.0036,NA,"partly-cloudy-day","Mostly Cloudy",1005.39,439.05,55.35,-131.7
"69",0.09,10,42,2.68,0.64,30.7,41.93,41.93,0,NA,"clear-day","Clear",1006.8,435.56,58.68,-156.65
"70",0.64,8.98,350,3.41,0.66,34.18,43.32,44.74,0,NA,"partly-cloudy-day","Mostly Cloudy",1003.66,439.95,57.75,-152.5
"71",0.52,9.72,104,11.36,0.71,19.62,17.88,27.85,0,NA,"partly-cloudy-day","Partly Cloudy",1013.02,395.11,66.87,-162.63
"72",0.21,9.3,322,1.53,0.66,32.41,42.98,42.98,0,NA,"clear-day","Clear",1007.13,382.79,61.63,-149.03
"73",0.22,7.18,115,25.88,0.83,7.04,-9.52,11.11,0,NA,"wind","Windy",1024.65,401.66,70.92,-153.23
"74",0.07,10,65,7.48,0.66,14.32,15.44,23.96,0,NA,"clear-day","Clear",1013.68,384.37,65,-150.65
"75",0.98,6.52,206,2.56,0.78,25.99,31.97,31.97,0.0014,NA,"cloudy","Overcast",1008.63,373.88,61.43,-142.92
"76",0.16,9.84,82,3.09,0.78,27.19,30.76,33.38,0,NA,"clear-day","Clear",1009.02,396.07,62.97,-155.62
"77",0.98,0.56,6,3.07,0.97,25.94,23.23,26.71,0,NA,"fog","Foggy",1007.33,429.5,60.37,-166.27
"78",0.81,9.73,106,11.62,0.87,41.27,39.32,45.05,0,NA,"partly-cloudy-day","Mostly Cloudy",1007.33,394.32,59.43,-146.33
"79",0.1,9.93,70,5.54,0.59,16.29,22.66,28.67,0,NA,"clear-day","Clear",1010.72,387.17,63.9,-152.27
"80",0.04,9.68,3,2.93,0.53,14.22,29.12,29.12,0,NA,"clear-day","Clear",1012,381.31,64.55,-149.08
"81",0.32,9.58,85,3.47,0.85,31.29,32.43,35.27,0,NA,"partly-cloudy-day","Partly Cloudy",1007.87,430.96,62.07,-163.3
"82",1,7.83,144,22.71,0.83,33.74,27.79,38.43,0.0025,NA,"cloudy","Overcast",998.69,427.18,53.58,-169.42
"83",0.77,9.63,65,5.05,0.8,26.13,26.54,31.58,0,NA,"partly-cloudy-day","Mostly Cloudy",1010.59,414.92,64.5,-165.43
"84",0.41,10,104,1.76,0.55,20.67,35.28,35.28,0,NA,"partly-cloudy-day","Partly Cloudy",1009.47,365.29,62.97,-141.93
"85",0.46,7.22,113,27.89,0.86,7.25,-10.92,10.54,0,NA,"wind","Windy and Partly Cloudy",1021.69,400.66,70.5,-149.88
"86",0.2,9.36,332,1.03,0.64,32.29,43.48,43.48,0,NA,"clear-day","Clear",1007.1,383.57,61.6,-149.08
"87",0.7,8.95,159,3.86,0.67,21.26,26.91,30.86,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.11,367.76,63.03,-145.5
"88",0.4,9.93,148,6.71,0.88,41.97,41.53,45.18,0.0017,NA,"partly-cloudy-day","Partly Cloudy",1009.89,434.07,56.82,-132.97
"89",0.97,4.58,108,16.96,0.85,7.04,-6.64,10.71,0,NA,"cloudy","Overcast",1017.97,389.06,69.82,-162.92
"90",0.67,8.29,152,12.58,0.79,39.12,39.27,45.26,0.0063,NA,"partly-cloudy-day","Mostly Cloudy",1002.4,441.62,56.25,-134.65
"91",0.2,5.18,61,12.03,0.93,20.74,10.91,22.57,0,NA,"clear-day","Clear",1012.42,413.63,65.25,-166.87
"92",0.7,8.74,178,2.06,0.86,37.41,41.27,41.27,0,NA,"partly-cloudy-day","Mostly Cloudy",1006.87,409.66,56.95,-158.62
"93",0.18,10,88,7.63,0.51,6.77,13.25,22.25,0,NA,"clear-day","Clear",1017.4,391.98,66.82,-150.65
"94",0.73,3.52,88,26.18,0.86,8.76,-8.27,12.12,0,NA,"wind","Windy and Mostly Cloudy",1023.11,400.32,70.25,-148.33
"95",0.35,10,155,0.59,0.83,32.15,36.87,36.87,0,NA,"partly-cloudy-day","Partly Cloudy",1006.87,416.25,60.2,-154.3
"96",0.59,9.8,155,0.76,0.76,26.31,32.97,32.97,0,NA,"partly-cloudy-day","Partly Cloudy",1007.45,393.34,62.17,-153.25
"97",0.78,9.53,156,3.94,0.92,38.67,38.3,40.8,0.0024,NA,"partly-cloudy-day","Mostly Cloudy",1006.09,394.48,55.33,-160.5
"98",0.95,7.92,194,2.8,0.8,33.1,38.64,38.64,0,NA,"cloudy","Overcast",1007.21,393.13,60.18,-149.75
"99",1,7.3,123,29.37,0.85,33.61,25.48,37.72,0.0057,NA,"cloudy","Overcast",995.36,441.55,53.2,-174.13
"100",0.99,7.79,24,5.18,0.95,18.25,12.08,19.41,0,NA,"cloudy","Overcast",1013.25,400.17,66.27,-166.03
"101",0.85,9.73,224,1.59,0.77,39.24,46.18,46.18,0.0062,NA,"partly-cloudy-day","Mostly Cloudy",1006.02,435.65,57.07,-135.35
"102",0,9.88,29,1.75,0.79,36.32,42.21,42.21,0,NA,"clear-day","Clear",1006.76,436.92,56.88,-154.2
"103",0.55,6.9,218,8.33,0.84,28.04,24.88,32.19,0,NA,"partly-cloudy-day","Partly Cloudy",1009.47,403.22,59.75,-135.53
"104",0.78,10,88,1.66,0.76,32.26,39.13,39.13,0,NA,"partly-cloudy-day","Mostly Cloudy",1007.02,389.78,61.97,-151.2
"105",0.29,8.27,68,1.52,0.84,29.34,33.7,33.7,0,NA,"partly-cloudy-day","Partly Cloudy",1007.8,372.44,62.03,-146.67
"106",0.98,8.98,82,7.03,0.77,28.65,29.25,35.13,0,NA,"cloudy","Overcast",1005.6,409.97,57.15,-170.22
"107",0.35,9.42,288,1.7,0.84,27.87,32.26,32.26,9e-04,NA,"partly-cloudy-day","Partly Cloudy",1007.6,371.67,61.9,-147.3
"108",0.68,9.81,228,1.49,0.68,32.45,42.29,42.29,0,NA,"partly-cloudy-day","Mostly Cloudy",1007.09,384.76,62.3,-150.1
"109",0,10,94,8.39,0.5,9.96,17.03,25.8,0,NA,"clear-day","Clear",1013.93,388.06,65.17,-152.1
"110",0.67,5.53,87,5.92,0.89,9.26,2.45,11.96,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.73,404.2,69.37,-152.13
"111",0.09,9.78,98,8.39,0.83,30.55,28.37,35.08,0,NA,"clear-day","Clear",1009.06,406.68,63.88,-160.8
"112",0.73,9.12,205,1.63,0.8,32.66,38.23,38.23,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.13,377.46,61.13,-146.35
"113",0.71,9.03,212,1.63,0.8,32.84,38.34,38.34,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.15,377.24,61.13,-146.25
"114",0.99,2.65,100,18.47,0.82,5.31,-8.72,9.63,0,NA,"cloudy","Overcast",1021.74,390.22,70.62,-159.85
"115",1,3.87,40,17.46,0.93,20.25,7.74,21.97,0,NA,"cloudy","Overcast",1014.27,408.94,66.03,-168.08
"116",0.95,7.27,117,3.04,0.83,36.68,39.99,41.48,0,NA,"cloudy","Overcast",1008.1,384.17,60.78,-148.72
"117",0.96,10,170,1.29,0.63,32.43,44.14,44.14,0,NA,"cloudy","Overcast",1006.9,387.27,61.75,-150.05
"118",0.53,9.87,142,6.84,0.85,41.75,42.46,46.01,0.0025,NA,"partly-cloudy-day","Partly Cloudy",1010.05,434.56,56.48,-132.37
"119",0.36,10,72,3.58,0.72,39.64,47.19,48.26,0.0018,NA,"partly-cloudy-day","Partly Cloudy",1004.76,409.31,59.52,-139.67
"120",0,10,309,1.42,0.25,38.07,76.57,76.57,0,NA,"clear-day","Clear",1016.41,312.58,32.17,-110.88
"121",0.01,10,215,3.34,0.3,45.47,79.95,79.95,0,NA,"clear-day","Clear",1015.96,317.49,33.68,-112.08
"122",0,10,288,2.97,0.26,35.14,71.5,71.5,0,NA,"clear-day","Clear",1015.58,312.46,31.45,-109.6
"123",0.1,10,218,3.21,0.3,45.01,79.58,79.58,0,NA,"clear-day","Clear",1015.97,317.98,33.47,-111.73
"124",0.25,10,216,6.38,0.4,34.65,58.75,58.75,0,NA,"partly-cloudy-day","Partly Cloudy",1016.4,317.29,35.13,-111.67
"125",0,10,26,1.76,0.25,33.31,70.59,70.59,0,NA,"clear-day","Clear",1015.14,309.38,31.6,-110.35
"126",0,10,195,3.77,0.29,46.24,80.31,81.88,0,NA,"clear-day","Clear",1015.82,315.8,33.55,-113.17
"127",0.13,10,194,1.43,0.28,44.69,79.67,81.02,0,NA,"clear-day","Clear",1016.33,316.59,33.42,-112.38
"128",0.55,10,236,9.2,0.37,34.32,60.53,60.53,0,NA,"partly-cloudy-day","Partly Cloudy",1015.96,318.89,35.95,-112.15
"129",0.02,10,217,9.86,0.33,41.36,72.2,72.2,0,NA,"clear-day","Clear",1016.19,317.24,35.27,-113.95
"130",0.06,10,200,2.02,0.29,45.82,79.65,80.84,0,NA,"clear-day","Clear",1016.38,316.91,33.53,-112.38
"131",0.01,10,267,5.38,0.31,37.54,69.42,69.42,0,NA,"clear-day","Clear",1014.64,323.72,36.93,-111.45
"132",0.14,10,246,6.43,0.35,39.22,68.22,68.22,0,NA,"clear-day","Clear",1016.47,316.67,34.23,-111.33
"133",0.15,10,184,1.36,0.29,45.76,79.66,80.85,0,NA,"clear-day","Clear",1015.86,317.75,33.43,-112.02
"134",0.46,10,219,7.91,0.37,40.07,66.89,66.89,0,NA,"partly-cloudy-day","Partly Cloudy",1016.38,315.43,34.65,-112.43
"135",0,10,240,3.78,0.37,44.21,71.82,71.82,0,NA,"clear-day","Clear",1015.98,317.68,32.82,-109.68
"136",0,10,204,2.91,0.3,44.82,79.26,79.26,0,NA,"clear-day","Clear",1015.97,317.82,33.62,-111.92
"137",0.01,10,282,1.19,0.36,33.8,61.22,61.22,0,NA,"clear-day","Clear",1016.01,319.7,34.27,-110
"138",0.01,10,282,1.19,0.36,33.8,61.22,61.22,0,NA,"clear-day","Clear",1016.01,319.7,34.27,-110
"139",0,10,349,1.57,0.24,37.78,76.81,76.81,0,NA,"clear-day","Clear",1016.41,312.33,32.12,-110.93
"140",0,10,257,3.31,0.3,44.86,79.4,79.4,0,NA,"clear-day","Clear",1015.93,317.44,33.3,-111.67
"141",0.01,10,226,1.86,0.29,34.32,67.94,67.94,0,NA,"clear-day","Clear",1015.51,321.03,35.02,-110.73
"142",0.01,10,225,5.75,0.29,44.7,79.13,80.03,0,NA,"clear-day","Clear",1016.75,313.7,33.1,-115
"143",0.12,10,213,3.86,0.29,47.3,81.17,83.07,0,NA,"clear-day","Clear",1016.27,312.9,32.65,-114.62
"144",0.13,10,222,4.68,0.27,45.54,81.17,83.29,0,NA,"clear-day","Clear",1015.88,313.51,32.85,-114.4
"145",0.92,10,6,5.43,0.44,42.29,64.7,64.7,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.73,328.68,35.97,-89.95
"146",0.8,10,54,6.43,0.61,51.82,65.77,65.77,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.64,322.6,33.52,-92.4
"147",0.46,10,22,6.42,0.6,51.03,65.5,65.5,0,NA,"partly-cloudy-day","Partly Cloudy",1018.25,319.61,33.22,-92.8
"148",0.84,10,74,2.76,0.52,41.15,58.74,58.74,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.08,326.45,36,-94.17
"149",0.71,10,71,6.78,0.48,42.01,61.73,61.73,0,NA,"partly-cloudy-day","Mostly Cloudy",1020.5,332.02,35.33,-94.37
"150",0.98,10,83,3.25,0.68,42.83,53.12,53.12,0,NA,"cloudy","Overcast",1021.1,328.75,36.27,-93.15
"151",1,10,54,2.71,0.65,48.33,60,60,0,NA,"cloudy","Overcast",1020.29,331.38,34.48,-93.1
"152",0.5,10,6,5.77,0.48,43.55,63.45,63.45,0.0166,NA,"rain","Light Rain",1020.93,328.31,35.83,-90.65
"153",1,10,47,3.65,0.61,45.48,58.7,58.7,0.0061,NA,"rain","Drizzle",1021.56,330.46,35.22,-92.38
"154",0.66,10,33,4.7,0.63,48.07,60.9,60.9,0.0235,NA,"rain","Light Rain",1021.45,330.61,34.92,-92.15
"155",0.61,9.74,60,3.24,0.64,47.87,60.06,60.06,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.49,330.75,34.83,-92.25
"156",0.99,10,24,7.97,0.62,51.05,64.18,64.18,0,NA,"cloudy","Overcast",1019.6,326.95,34.17,-91.93
"157",0.93,10,81,3.84,0.55,41.71,57.92,57.92,0,NA,"partly-cloudy-day","Mostly Cloudy",1021.16,325.64,36.18,-94.13
"158",0.89,9.94,49,6,0.65,50.84,62.67,62.67,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.66,326.93,33.45,-94
"159",0.47,8.34,17,4.85,0.38,37.44,63.87,63.87,0,NA,"partly-cloudy-day","Partly Cloudy",1021.19,329.88,36.13,-90.93
"160",0.17,9.87,264,8.3,0.69,49.21,59.5,59.5,0,NA,"clear-day","Clear",1022.39,337.72,37.78,-122.32
"161",0.49,10,237,8.5,0.58,36.41,50.74,50.74,0,NA,"partly-cloudy-day","Partly Cloudy",1015.72,348.78,41.48,-120.53
"162",0.24,9.57,229,7.07,0.73,48.1,56.72,56.72,0,NA,"clear-day","Clear",1019.53,365.77,40.98,-124.1
"163",0.88,10,301,4.47,0.62,50.34,63.63,63.63,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.52,323.09,35.43,-119.05
"164",0.32,10,182,8.74,0.59,50.64,65.19,65.19,0,NA,"partly-cloudy-day","Partly Cloudy",1020.23,344.76,39.13,-121.45
"165",0,10,252,8.16,0.54,49.77,67.14,67.14,0,NA,"clear-day","Clear",1017.23,312.87,33.93,-116.95
"166",0,10,223,11.5,0.35,43.31,72.25,72.25,0,NA,"clear-day","Clear",1015.98,316.5,35.28,-116.62
"167",0.02,10,261,2.22,0.34,35.04,63.71,63.71,0,NA,"clear-day","Clear",1016.22,314.41,34.27,-116.68
"168",0.21,10,250,9.25,0.35,32.01,59.59,59.59,0,NA,"clear-day","Clear",1015.34,328.99,37.6,-118.6
"169",0.72,8.45,205,8.79,0.68,37.72,43.85,47.87,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.96,339.31,39.28,-120.7
"170",0,10,202,5.91,0.31,49.42,81.22,82.83,0,NA,"clear-day","Clear",1015.58,315.41,33.62,-114.72
"171",0.02,9.66,211,6.29,0.6,54.53,68.96,68.96,0,NA,"clear-day","Clear",1018.54,316.9,34.2,-118.37
"172",0.37,9.08,242,6.55,0.69,55.2,65.67,65.67,0,NA,"partly-cloudy-day","Partly Cloudy",1019.64,312.79,33.3,-117.35
"173",0,10,235,7.48,0.46,46.85,68.43,68.43,0,NA,"clear-day","Clear",1017.43,308.92,32.62,-116.47
"174",0.63,9.76,258,8.1,0.71,55.42,64.95,64.95,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.53,312.77,33.13,-117.28
"175",0.03,9.46,334,9.14,0.5,46.33,65.26,65.26,0,NA,"clear-day","Clear",1020.81,336.09,37.38,-120.57
"176",0.8,9.95,170,6.3,0.62,46.37,59.32,59.32,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.9,347.4,39.78,-121.85
"177",0.65,10,227,2.64,0.32,42.54,74.44,74.44,0,NA,"partly-cloudy-day","Mostly Cloudy",1015.6,318.51,35.68,-117.68
"178",0.06,9.52,265,3.98,0.56,53.32,69.78,69.78,0,NA,"clear-day","Clear",1018.04,316.49,33.97,-117.63
"179",0.03,9.99,260,8.67,0.53,47.53,65.04,65.04,0,NA,"clear-day","Clear",1021.86,338.19,37.98,-122.05
"180",0.32,9.98,180,15.23,0.8,48.73,54.66,54.66,0,NA,"partly-cloudy-day","Partly Cloudy",1019.86,375.75,41.78,-124.23
"181",0.02,10,261,14.31,0.36,46.27,75.32,75.32,0,NA,"clear-day","Clear",1016.34,315.92,34.87,-116.78
"182",0.24,10,273,14.61,0.37,43.82,71.82,71.82,0,NA,"clear-day","Clear",1016.86,317.25,34.9,-117.88
"183",0.15,10,124,1.7,0.28,46.09,80.83,82.72,0,NA,"clear-day","Clear",1017.55,312.56,32.82,-115.68
"184",0.21,9.48,232,5.89,0.6,53.83,68.33,68.33,0,NA,"clear-day","Clear",1018.34,316.76,34.08,-118.03
"185",0.82,9.91,239,3.9,0.65,55.67,67.75,67.75,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.52,314.86,33.67,-117.73
"186",0.57,9.34,209,15.08,0.78,46.68,53.43,53.43,0,NA,"partly-cloudy-day","Partly Cloudy",1019.08,371.44,41.33,-124.28
"187",0.28,10,324,4.83,0.56,46.66,62.82,62.82,0,NA,"partly-cloudy-day","Partly Cloudy",1021.55,327.81,36,-121.32
"188",0.05,9.82,306,5.46,0.68,49.79,60.4,60.4,0,NA,"clear-day","Clear",1022.62,332.83,36.68,-121.77
"189",0.34,10,310,6.85,0.52,49.05,67.45,67.45,0,NA,"partly-cloudy-day","Partly Cloudy",1019.62,330.83,36.77,-119.72
"190",0.16,9.94,233,4.72,0.62,54.11,67.76,67.76,0,NA,"clear-day","Clear",1019.85,316.51,33.87,-117.97
"191",0.19,10,267,11.16,0.38,42.99,69.66,69.66,0,NA,"clear-day","Clear",1016.63,315.29,34.58,-117.38
"192",0.25,9.77,244,6.32,0.7,56.46,66.71,66.71,0,NA,"partly-cloudy-day","Partly Cloudy",1019.79,316.71,33.92,-118.33
"193",0.06,9.9,276,8.52,0.67,49.73,60.69,60.69,0,NA,"clear-day","Clear",1022.34,337.64,37.65,-122.12
"194",0.06,10,163,2.11,0.28,46.79,81.15,83.11,0,NA,"clear-day","Clear",1017.59,313.04,32.83,-115.57
